Crash_Key, WZ_Related, WZ_Loc, WZ_Type, Workers
2002022214, 1, 4, 2, 1
2002022462, 1, 2, 1, 2
2002022693, 1, 3, 1, 9
2002022773, 1, 4, 1, 1
2002022783, 1, 8, 4, 2
2002023023, 1, 4, 3, 1
2002023044, 1, 4, 8, 2
2002023305, 1, 4, 1, 2
2002023560, 1, 4, 1, 2
2002023687, 1, 3, 4, 1
2002023726, 1, 4, 1, 1
2002023918, 1, 2, 1, 1
2002023939, 1, 2, 1, 1
2002024004, 1, 1, 4, 2
2002024005, 1, 4, 3, 1
2002024013, 1, 3, 2, 1
2002024085, 1, 1, 2, 9
2002024158, 1, 4, 1, 1
2002024178, 1, 4, 3, 1
2002024183, 1, 4, 4, 2
2002024186, 1, 4, 1, 2
2002024204, 1, 4, 4, 2
2002024357, 1, 3, 1, 1
2002024377, 1, 1, 1, 9
2002024390, 1, 3, 8, 2
2002024401, 1, 2, 1, 9
2002024455, 1, 2, 1, 2
2002024580, 1, 4, 3, 2
2002024591, 1, 5, 8, 2
2002024664, 1, 3, 1, 2
2002024710, 1, 3, 1, 2
2002024984, 1, 4, 1, 1
2002025016, 1, 4, 1, 1
2002025177, 1, 8, 9, 2
2002025243, 1, 4, 1, 1
2002025248, 1, 4, 4, 1
2002025251, 1, 1, 1, 1
2002025409, 1, 2, 1, 2
2002025412, 1, 8, 9, 2
2002025441, 1, 9, 9, 2
2002025563, 1, 3, 2, 2
2002025738, 1, 3, 3, 1
2002025762, 1, 9, 9, 9
2002025859, 1, 4, 1, 9
2002025872, 1, 2, 1, 2
2002025916, 1, 4, 8, 2
2002025933, 1, 2, 3, 1
2002025955, 1, 2, 1, 1
2002026061, 1, 2, 1, 1
2002026068, 1, 4, 3, 2
2002026389, 1, 2, 1, 2
2002026443, 1, 4, 3, 1
2002026690, 1, 5, 8, 1
2002026727, 1, 4, 2, 1
2002026903, 1, 3, 1, 1
2002027005, 1, 4, 3, 2
2002027021, 1, 4, 3, 2
2002027080, 1, 1, 1, 1
2002027136, 1, 9, 3, 2
2002027216, 1, 8, 8, 2
2002027265, 1, 3, 2, 2
2002027358, 1, 4, 1, 2
2002027365, 1, 4, 1, 2
2002027462, 1, 4, 2, 2
2002027534, 1, 4, 1, 2
2002027620, 1, 4, 8, 2
2002027819, 1, 4, 3, 1
2002027891, 1, 2, 1, 1
2002027964, 1, 4, 1, 1
2002028014, 1, 3, 1, 9
2002028164, 1, 5, 4, 2
2002028167, 1, 2, 1, 1
2002028170, 1, 5, 1, 2
2002028183, 1, 1, 2, 9
2002028199, 1, 8, 8, 9
2002028346, 1, 2, 9, 2
2002028349, 1, 2, 8, 2
2002028388, 1, 4, 4, 2
2002028427, 1, 3, 1, 2
2002028438, 1, 4, 4, 1
2002028485, 1, 4, 2, 1
2002028492, 1, 3, 1, 2
2002028604, 1, 4, 2, 2
2002028607, 1, 4, 1, 1
2002028828, 1, 1, 1, 1
2002028943, 1, 4, 8, 2
2002029001, 1, 3, 2, 1
2002029012, 1, 4, 3, 1
2002029048, 1, 2, 1, 2
2002029309, 1, 4, 2, 2
2002029426, 1, 2, 1, 1
2002029740, 1, 4, 1, 1
2002029766, 1, 8, 1, 2
2002029783, 1, 3, 2, 1
2002029906, 1, 5, 2, 1
2002029976, 1, 4, 8, 2
2002030038, 1, 3, 2, 1
2002030214, 1, 2, 1, 1
2002030398, 1, 4, 2, 9
2002030439, 1, 8, 4, 1
2002030453, 1, 2, 1, 2
2002030461, 1, 8, 4, 2
2002030479, 1, 4, 1, 2
2002030568, 1, 3, 2, 9
